stock,initial_state, initial_state_cv, terminal_state, terminal_state_cv
Lutjanidae,0.75,0.1,0.43,0.31
Serranidae,0.75,0.1,0.3,0.31
Polynemidae,0.75,0.1,0.43,0.31
Leiognathidae,0.75,0.1,0.55,0.31
Upeneus spp,0.75,0.1,0.54,0.31
Siganus spp,0.75,0.1,0.43,0.31
Tenualosa ilisha,0.75,0.1,0.35,0.31
Percoidei,0.75,0.1,0.45,0.2
Cynoglossidae,0.75,0.1,0.45,0.2
Mullidae,0.75,0.1,0.45,0.2
